Element;Ca43;Ca44;Sr87;Sr88;Ba137;Ba138
N612-1;85200;89730;76,6;77,2;38,1;38,5
N612-2;85000;84980;77,1;76,6;38,1;38,18
N612-3;85200;81060;76,9;75,65;37,1;37,39
N610-1;81400;83770;844,08;527,98;436,6;608,85
1G4-5_1;285800;276700;1574,51;5485,5;27,7;31,3
1G4-5_2;285800;242200;1693,55;5143,8;32,6;37,2
H13-G2_3;285000;204600;504;1404,5;17;16,7
H13-G2_4;285000;205300;605;1613,8;16,7;19
H13-G2_5;285000;207000;568;1454;17;18,4
H13-G2_6;285000;204000;599,9;1567;18,7;18
H13-G2_7;285000;208700;606;1600;17,8;19,6
N612-4;85200;85850;74,2;74,96;37;36,8
N610-2;81400;84090;829,5;542,7;430,3;514,67
H13-D2_8;285800;282600;423,9;1162,4;29,9;28,2
H13-D2_9;285800;270500;433;1206,1;27;27,8
H13-D2_10;285800;291600;430,3;1163,5;30,9;31,4
H20-G-1-11;285800;244700;828;2293,3;79;82,5
H20-G-1-12;285800;219500;842;2286,9;72,7;77
H20-G-1-13;285800;228900;874,9;2330,2;84;84,5
H20-G-1-14;285800;227400;849;2301,9;101,4;106,8
N612-5;85200;86790;76,3;75,96;37,8;37,7
N610-3;81400;80670;829,09;536,58;433;505,94
H14-G-7-15;285000;232300;707;1921,9;79,4;78,7
H14-G-7-16;285800;242300;685;1891;76,2;78,3
H14-G-7-17;285800;212700;645,7;1723,9;78,5;72,8
H14-G-7-18;285800;215900;688,5;1886,8;79,9;81,2
H18-S-1-20;285800;209500;745;1923;55,9;52,4
H18-S-1-21;285800;203200;697;1814,3;62,3;60,9
H18-S-1-22;285800;198300;730;1957,4;49,5;52,6
H18-S-1-23;285800;207000;734,6;1858,8;57;59,6
H14-G-8-24;285800;201000;617,6;1707;45,9;46,5
H14-G-8-25;285800;209800;753;1987;72;71
N612-6;85200;86170;75,5;76,8;37,9;37,97
N612-7;85200;86300;75,6;76,4;39,07;38,14
N610-4;81400;82190;835,2;544,57;433,6;524,2
N610-5;81400;81670;842,2;551,1;438,68;522,48
H14-G-1-26;285000;220800;833;2346;86;84,5
H14-G-1-27;285000;214500;840;2310,57;83,9;84
H14-G-1-28;285000;227200;826;2336;89,3;89,8
H14-G-1-29;285000;215600;852;2356,9;91,6;94
H14-G-1-30;285000;218400;886,9;2389,9;96,9;95,2
H14-G-1-31;285000;211800;789,5;2150,5;90;87,2
H14-G-1-32;285000;215000;856,8;2281,3;84;82,9
H14-G-1-33;285000;220800;812;2243;93;87,6
H14-G-1-34;285000;213500;827;2238;84,5;87,6
H14-G-1-35;285000;206400;842;2288,9;93;94
N612-8;85200;84800;73,5;76,49;37,77;37,6
N612-9;85200;85050;76,3;76;37,2;37,33
N610-6;85200;84350;876,6;567,4;454,29;526,3
H13-D-1-36;285800;263300;378,8;1047,6;24,6;25,8
H13-D-1-37;285800;257800,05;387,6;1021,5;25,6;25,2
H13-D-1-38;285800;254500;386,9;1036,3;23,7;23,6
H13-D-1-39;285800;256500;384;1048;24,8;25,9
N610-7;81400;79160;845,4;543;436,7;498,55
N612-10;85200;84760;76,8;75,2;37,9;37,4
N612-11;85200;86000;76,6;77;37,8;38,39
N612-12;85200;84000;78,2;75,69;37,2;37,7
